Title,Views,Notes
FIMA NFIP Redacted Claims (OpenFEMA),139,"Department of Homeland Security —
Congress passed the National Flood Insurance Act (NFIA), 42 U.S.C. 4001 in 1968, creating the National Flood Insurance Program (NFIP) in order to reduce future flood..."
18 excel spreadsheets by species and year giving reproduction and growth data.  One excel spreadsheet of herbicide treatment chemistry.,138,"U.S. Environmental Protection Agency —
Excel spreadsheets by species (4 letter code is abbreviation for genus and species used in study, year 2010 or 2011 is year data collected, SH indicates data for..."
Cropland Data Layer,136,"Department of Agriculture —
The USDA National Agricultural Statistics Service (NASS) Cropland Data Layer (CDL) is an annual raster, geo-referenced, crop-specific land cover data layer produced..."
Crime Reports,135,"City of Austin —
AUSTIN POLICE DEPARTMENT DATA DISCLAIMER Please read and understand the following information. This dataset contains a record of incidents that the Austin Police..."
Issued Construction Permits,135,"City of Austin —
Building, Electrical, Mechanical, and Plumbing Permits and Driveway/Sidewalk Permits issued by the City of Austin. Includes relevant details such as issue date,..."
Global Terrorism Database,134,"Department of Homeland Security —
The Global Terrorism Database™ (GTD) is an open-source database including information on terrorist events around the world from 1970 through 2020 (with annual updates..."
Water Consumption And Cost (2013 - Feb 2025),134,"City of New York —
Monthly consumption and cost data by borough and development. Data set includes utility vendor and meter information."
MTA Monthly Ridership / Traffic Data: Beginning January 2008,134,"State of New York —
This dataset provides systemwide ridership and traffic estimates for subways (including the Staten Island Railway), NYCT bus, MTA Bus, Long Island Rail Road, Metro-..."
"Monthly Counts of Deaths by Select Causes, 2014-2019",133,"U.S. Department of Health & Human Services —
Final counts of deaths by the month the deaths occurred and by select causes of death for 2014-2019."
Supply Chain GHG Emission Factors for US Commodities and Industries v1.1,132,"U.S. Environmental Protection Agency —
Tables presenting supply chain and margin emission factors and data quality scores for US commodities and industries calculated from USEEIO models at two levels of..."
Insurance complaints: All data,131,"City of Austin —
► The Texas Department of Insurance (TDI) handles complaints against people and organizations licensed by TDI, such as companies, agents, and adjusters. To learn..."
Study of Womens Health Across the Nation (SWAN) Public Use Data,130,"U.S. Department of Health & Human Services —
The SWAN Public Use Datasets provide access to longitudinal data describing the physical, biological, psychological, and social changes that occur during the..."
Purchase Order Quantity Price detail for Commodity/Goods procurements,130,"City of Austin —
Purchase Order commodity line level detail for City of Austin Commodities/Goods purchases dating back to October 1st, 2009. Each line includes the NIGP Commodity..."
1940 Census: Official 1940 Census Website,130,"National Archives and Records Administration —
Website alows the public full access to the 1940 Census images, census maps and descriptions."
"Cancer Incidence - Surveillance, Epidemiology, and End Results (SEER) Registries Limited-Use",129,"U.S. Department of Health & Human Services —
SEER Limited-Use cancer incidence data with associated population data. Geographic areas available are county and SEER registry. The Surveillance, Epidemiology, and..."
"FSIS MPI - Meat, Poultry, and Egg Inspection Directory by Establishment Number",129,"Department of Agriculture —
The Meat, Poultry and Egg Product Inspection Directory is a listing of establishments that produce meat, poultry, and/or egg products regulated by USDA's Food Safety..."
Emission & Generation Resource Integrated Database (eGRID),129,"U.S. Environmental Protection Agency —
The Emissions & Generation Resource Integrated Database (eGRID) is a comprehensive source of data on characteristics of almost all electric power generated in the..."
"Household Debt by State, County, and MSA",127,"Board of Governors of the Federal Reserve System —
The tables and interactive maps below allow users to explore the ratio of debt to income by state, metropolitan statistical area, and county for each year since 1999...."
Recalls Data,127,"Department of Transportation —
About the Data: The dataset includes recall information related to specific NHTSA campaigns. Users can filter based on characteristics like manufacturer and..."
Next Generation Simulation (NGSIM) Vehicle Trajectories and Supporting Data,127,"Department of Transportation —
Click “Export” on the right to download the vehicle trajectory data. The associated metadata and additional data can be downloaded below under ""Attachments""...."
SuperTracker - source code and foods database,126,"Department of Agriculture —
SuperTracker was an online tool offered by USDA (2011-2018) that helped users track diet, physical activity and weight. SuperTracker provided a personalized plan..."
Monthly revenue of U.S. natural resources,126,"Department of the Interior —
This dataset includes revenue from natural resources by month. Natural resources are extracted from federal lands, federal waters, and Native American lands. The data..."
Congressional Districts,125,"Department of Transportation —
The 119th Congressional Districts dataset reflects boundaries from January 03, 2025 from the United States Census Bureau (USCB), and the attributes are updated every..."
USAID GHSC-PSM Health Commodity Delivery Dataset,125,"US Agency for International Development —
Dataset containing detailed information about all health commodity orders delivered through the USAID Global Health Supply Chain Program - Procurement and Supply..."
Social Media Channels and Statistics at the National Archives,125,"National Archives and Records Administration —
More than 100 social media channels and statistics for the National Archives and Records Administration."
NOAA NEXt-Generation RADar (NEXRAD) Products,125,"National Oceanic and Atmospheric Administration, Department of Commerce —
This dataset consists of Level III weather radar products collected from Next-Generation Radar (NEXRAD) stations located in the contiguous United States, Alaska,..."
Airports -- Citizen Connect,125,"Department of Transportation —
The Airports dataset includes all official and operational aerodromes as of July 16, 2020 and is part of the U.S. Department of Transportation (USDOT)/Bureau of..."
MTA Subway Stations,125,"State of New York —
A dataset listing all subway and Staten Island Railway stations, with information on their locations, Station Master Reference Number (MRN), Complex MRN, GTFS Stop..."
Uniform Crime Reporting (UCR) Program,125,"Department of Justice —
Federal Bureau of Investigation, Department of Justice - Extraction of crime related data from the FBI's Uniform Crime Reporting (UCR) Program"
Subcontracting Network (SUBNet) System,124,"Small Business Administration —
SUBNet is a platform administered by SBA for other-than-small businesses (aka large businesses) that have Federal contracts with small business subcontracting plans..."
Federal Procurement Data System - FPDS API,122,"General Services Administration —
The Federal Procurement Data System (FPDS) Next Generation has been re-engineered as a real-time federal enterprise information system. Web services based on SOAP and..."
USGS National Structures Dataset - USGS National Map Downloadable Data Collection,122,"Department of the Interior —
USGS Structures from The National Map (TNM) consists of data to include the name, function, location, and other core information and characteristics of selected..."
National Solar Radiation Database (NSRDB),120,"Department of Energy —
The National Solar Radiation Database (NSRDB) is a serially complete collection of meteorological and solar irradiance data sets for the United States and a growing..."
College Scorecard,120,"Department of Education —
Download the data that appears on the College Scorecard, as well as supporting data on student completion, debt and repayment, earnings, and more. Last updated on..."
Total tonnage of commodites carried on commercial waterways by traffic type,120,"Department of Defense —
Total tonnage and tonnage by traffic type (in short tons of 2000 pounds) of commodites carried on commercial waterways, where the origin and destination of the cargo..."
Providence Police Case Log - Past 180 days,119,"City of Providence —
Recorded state and municipal offenses from AEGIS records management system of the Providence Police. A single case can contain multiple offenses. Refer to the case..."
SRTM30+ Global 1-km Digital Elevation Model (DEM): Version 11: Land Surface,119,"National Oceanic and Atmospheric Administration, Department of Commerce —
A global 1-km resolution land surface digital elevation model (DEM) derived from U.S. Geological Survey (USGS) 30 arc-second SRTM30 gridded DEM data created from the..."
Financial Institutions,119,"Federal Deposit Insurance Corporation —
This dataset provides a listing of FDIC-insured financial institutions."
Sample Purchasing / Supply Chain Data,119,"National Institute of Standards and Technology —
Sample purchasing data containing information on suppliers, the products they provide, and the projects those products are used for. Data created or adapted from..."
Fatality Analysis Reporting System (FARS) 2022 - Accidents,118,"Department of Transportation —
The Fatality Analysis Reporting System (FARS) 2022 Initial Release - Fatal Motor Vehicle Accidents dataset was compiled from January 1, 2022 to December 31, 2022 by..."
MTA Daily Ridership Data: 2020 - 2025,118,"State of New York —
This deprecated dataset provides systemwide ridership and traffic estimates for subways (including the Staten Island Railway), buses, Long Island Rail Road, Metro-..."
"PLACES: County Data (GIS Friendly Format), 2020 release",118,"U.S. Department of Health & Human Services —
This dataset contains model-based county-level estimates for the PLACES project 2020 release in GIS-friendly format. The PLACES project is the expansion of the..."
Steel Import Monitoring and Analysis System (SIMA),118,"Department of Commerce —
The Steel Import Monitoring and Analysis (SIMA) System, under the Department of Commerce, collects and publishes data of steel mill product imports. By design this..."
"Combined wildfire datasets for the United States and certain territories, 1800s-Present",116,"Department of the Interior —
First, we would like to thank the wildland fire advisory group. Their wisdom and guidance helped us build the dataset as it currently exists. This dataset is..."
Clean Air Status and Trends Network (CASTNET): Ozone,116,"U.S. Environmental Protection Agency —
8-hour daily maximum ozone concentrations as measured by the Clean Air Status and Trends Network (CASTNET)"
CBP Customs Rulings Online Search System (CROSS),115,"Department of Homeland Security —
CROSS is a searchable database of CBP rulings that can be retrieved based on simple or complex search characteristics using keywords and Boolean operators. CROSS has..."
Hospital Annual Financial Data - Selected Data & Pivot Tables,115,"State of California —
On an annual basis (individual hospital fiscal year), individual hospitals and hospital systems report detailed facility-level data on services capacity,..."
Flood Hazard Area,114,"Earth Data Analysis Center, University of New Mexico —
The National Flood Hazard Layer (NFHL) data incorporates all Digital Flood Insurance Rate Map(DFIRM) databases published by FEMA, and any Letters Of Map Revision..."
"The EPA Automotive Trends Report: Greenhouse Gas Emissions, Fuel Economy, and Technology since 1975",113,"U.S. Environmental Protection Agency —
This annual report is part of the U.S. Environmental Protection Agency’s (EPA) commitment to provide the public with information about new light-duty vehicle..."
Arrest Data from 2010 to 2019,113,"City of Los Angeles —
This dataset reflects arrest incidents in the City of Los Angeles from 2010 to 2019. This data is transcribed from original arrest reports that are typed on paper and..."
Childhood Asthma Healthcare Utilization,113,"Allegheny County / City of Pittsburgh / Western PA Regional Data Center —
This data shows healthcare utilization for asthma by Allegheny County residents 18 years of age and younger. It counts asthma-related visits to the Emergency..."
California Hospital Inpatient Mortality Rates and Quality Ratings,113,"State of California —
The dataset contains risk-adjusted mortality rates, quality ratings, and number of deaths and cases for 6 medical conditions treated (Acute Stroke, Acute Myocardial..."
Maryland Total Personal Income (Thousands of Current Dollars): 2010-2022,113,"State of Maryland —
Maryland Total Personal Income (thousands of current dollars) from 2010 to 2022. Based on Data from U.S. Bureau of Economic Analysis"
Sea Level Trends: Sea Level Variations of the United States Derived from National Water Level Observation Network Stations,113,"National Oceanic and Atmospheric Administration, Department of Commerce —
Water level records are a combination of the fluctuations of the ocean and the vertical land motion at the location of the station. Monthly mean sea level (MSL)..."
U.S. Electric Utility Companies and Rates: Look-up by Zipcode (2023),112,"Department of Energy —
This dataset, compiled by NREL using data from ABB, the Velocity Suite (http://energymarketintel.com/) and the U.S. Energy Information Administration dataset 861..."
USGS US Topo Map Collection,112,"Department of the Interior —
Layered geospatial PDF 7.5 Minute Quadrangle Map. Layers of geospatial data include orthoimagery, roads, grids, geographic names, elevation contours, hydrography,..."
Diabetes + Hypertension (comorbidity),111,"Allegheny County / City of Pittsburgh / Western PA Regional Data Center —
This data set provides de-identified population data for diabetes and hypertension comorbidity prevalence in Allegheny County. The data is provided by three managed..."
School District Characteristics - Current,110,"Department of Education —
The National Center for Education Statistics’ (NCES) Education Demographic and Geographic Estimate (EDGE) program develops annually updated school district boundary..."
Federal Agency Bureau Codes,110,"Department of Homeland Security —
A list of 4-digit GSA federal agency bureau codes used to identify federal agencies. The primary source is the GSA published list."
International Macroeconomic Data Set,110,"Department of Agriculture —
The International Macroeconomic Data Set provides data from 1969 through 2030 for real (adjusted for inflation) gross domestic product (GDP), population, real..."
Food Security in the United States,110,"Department of Agriculture —
This data section provides information about publicly available national surveys that include questions from the U.S. Food Security Survey Module. Information on each..."
Traffic Volume Counts,109,"City of New York —
New York City Department of Transportation (NYC DOT) uses Automated Traffic Recorders (ATR) to collect traffic sample volume counts at bridge crossings and roadways...."
Great Lakes Environmental Database (GLENDA),108,"U.S. Environmental Protection Agency —
The Great Lakes Environmental Database (GLENDA) houses environmental data collected by EPA Great Lakes National Program Office (GLNPO) programs that sample water,..."
Electric Substations,107,"Department of Homeland Security —
Homeland Infrastructure Foundation-Level Data (HIFLD) geospatial data sets containing information on Electric Substations."
Occupational Employment and Wage Statistics (OES),107,"U.S. Department of Labor Bureau of Labor Statistics —
The Occupational Employment and Wage Statistics (OES) program conducts a semi-annual survey to produce estimates of employment and wages for specific occupations. The..."
Provisional drug overdose death counts for specific drugs,107,"U.S. Department of Health & Human Services —
This data presents counts of provisional drug overdose deaths by selected drugs and U.S. Department of Health and Human Services (HHS) public health regions, based on..."
Real Estate Data,106,"Town of Cary, North Carolina —
This dataset is created by the Town of Cary GIS Group. It contains data from the western portion of Wake County, the eastern portion of Chatham County, and the..."
Housing Affordability Data System (HADS),105,"Department of Housing and Urban Development —
The Housing Affordability Data System (HADS) is a set of files derived from the 1985 and later national American Housing Survey (AHS) and the 2002 and later Metro..."
"Employment, Unemployment, and Labor Force Data",105,"State of Maryland —
This dataset uses seasonally adjusted data from the US Bureau of Labor Statistics to present information on Maryland's labor force participation rate, employment..."
Unassigned Social Security Numbers,105,"Social Security Administration —
Database list of unassigned numbers."
Nationwide Commercial Laboratory Seroprevalence Survey,105,"U.S. Department of Health & Human Services —
CDC is working with commercial laboratories to conduct large-scale geographic seroprevalence surveys to estimate the percentage of people who were previously infected..."
Food Environment Atlas,104,"Department of Agriculture —
Food environment factors--such as store/restaurant proximity, food prices, food and nutrition assistance programs, and community characteristics--interact to..."
HUD Program Income Limits,104,"Department of Housing and Urban Development —
Income limits used to determine the income eligibility of applicants for assistance under three programs authorized by the National Housing Act. These programs are..."
BLM National Public Land Survey System Polygons,104,"Department of the Interior —
This dataset represents the GIS Version of the Public Land Survey System including both rectangular and non-rectangular surveys. The primary source for the data is..."
Consumption & Efficiency Data and Statistics,103,"Department of Energy —
Data and statistics on energy consumption in homes, commercial buildings, manufacturing, and transportation. Data released monthly or annually."
"Consumer Airfare Report: Table 2 - Top 1,000 City-Pair Markets",103,"Department of Transportation —
Data summarized by city, includes the number of city-pair markets in the top 1,000 in either comparison period that involve each city, the number of passengers..."
Photovoltaic Data Acquisition (PVDAQ) Public Datasets,103,"Department of Energy —
The NREL PVDAQ is a large-scale time-series database containing system metadata and performance data from a variety of experimental PV sites and commercial public PV..."
MTA Key Performance Indicators: 2008-2021,103,"State of New York —
This dataset combines Key Performance Indicator data that was reported starting with the creation of the MTA Stat performance metric dashboard in 2008 through 2021...."
U.S. Overseas Loans and Grants (Greenbook),103,"US Agency for International Development —
This dataset is used to produce the \""U.S. Overseas Loans and Grants\"" publication, known as the \""Greenbook\"". The annual report to Congress on U.S foreign..."
SNOMED CT,103,"U.S. Department of Health & Human Services —
SNOMED CT is one of a suite of designated standards for use in U.S. Federal Government systems for the electronic exchange of clinical health information and is also..."
FHFA House Price Indexes (HPIs),103,"Federal Housing Finance Agency —
The FHFA House Price Index (FHFA HPI®) is a comprehensive collection of public, freely available house price indexes that measure changes in single-family home values..."
"U.S. Crude Oil, Natural Gas, and Natural Gas Liquids Reserves",102,"Department of Energy —
Annual data on proved reserves of crude oil, natural gas, and natural gas liquids in the U.S. Based on EIA Form-23L data. Proved reserves are estimated volumes of..."
"TIGER/Line Shapefile, 2019,  nation, U.S., Current County and Equivalent National Shapefile",102,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
Integrated Surface Dataset (Global) (Version Superseded),102,"National Oceanic and Atmospheric Administration, Department of Commerce —
This version has been superseded by a newer version. It is highly recommended for users to access the current version. Users should only access this superseded..."
Hospitalization Discharge Rates,101,"Lake County, Illinois —
Hospitalization Discharge Rates in Lake County, Illinois. Explanation of field attributes: Anxiety Disorder - Anxiety disorders are characterized by excessive fear or..."
NCRN Bird Monitoring Data 2007 - 2017,101,"Department of the Interior —
These data represent the first ten years of data collection (2007-2016) on avian abundance/density and distribution in the National Capital Region as part of the..."
"21st Century Corporate Financial Fraud, United States, 2005-2010",101,"Department of Justice —
The Corporate Financial Fraud project is a study of company and top-executive characteristics of firms that ultimately violated Securities and Exchange Commission..."
Cannabis Retail Sales by Week Ending,101,"State of Connecticut —
This data set contains preliminary weekly retail sales data for cannabis and cannabis products in both the adult-use cannabis and medical marijuana markets. The data..."
NCHS - Potentially Excess Deaths from the Five Leading Causes of Death,101,"U.S. Department of Health & Human Services —
MMWR Surveillance Summary 66 (No. SS-1):1-8 found that nonmetropolitan areas have significant numbers of potentially excess deaths from the five leading causes of..."
Metropolitan Area Look-Up,100,"Department of Housing and Urban Development —
This system provides the user with a facility to select a state and county combination to determine if the selected county is part of an Office of Management and..."
Tax Exempt Organization Search,100,"Department of the Treasury —
The IRS Tax Exempt Organization Search tool allows users to find information about an organization's tax-exempt status under the Internal Revenue Code and its tax..."
An example data set for exploration of Multiple Linear Regression,100,"Department of the Interior —
This data set contains example data for exploration of the theory of regression based regionalization. The 90th percentile of annual maximum streamflow is provided as..."
National Obesity By State,99,"Lake County, Illinois —
Layers in this service includes: Birth, Cancer, Hospitalization Discharge, Mortality and STI Rates, as well as Demographics."
National Intimate Partner and Sexual Violence Survey (NISVS) Series,99,"Department of Justice —
The National Intimate Partner and Sexual Violence Survey (NISVS) is an ongoing nationally representative survey that assessed experiences of sexual violence,..."
Popular Baby Names,99,"City of New York —
Popular Baby Names by Sex and Ethnic Group Data were collected through civil birth registration. Each record represents the ranking of a baby name in the order of..."
Severe Weather Data Inventory (SWDI),98,"National Oceanic and Atmospheric Administration, Department of Commerce —
The Severe Weather Data Inventory (SWDI) is an integrated database of severe weather records for the United States. SWDI enables a user to search through a variety of..."
MTA Metro-North Delays: Beginning 2012,98,"State of New York —
This dataset lists all causes of delays on Metro-North that results in a train is cancelled, terminated, substituted by bus service, or late (in a rounded number of..."
MTA NYCT Safety Data: Beginning 2019,98,"State of New York —
This dataset provides insights into safety-related incidents and indicators within New York City Transit (NYCT). NYCT is responsible for overseeing the safety of..."
Road Traffic Injuries,97,"State of California —
This table contains data on the annual number of fatal and severe road traffic injuries per population and per miles traveled by transport mode, for California, its..."
NCHS - Births and General Fertility Rates: United States,97,"U.S. Department of Health & Human Services —
This dataset includes crude birth rates and general fertility rates in the United States since 1909. The number of states in the reporting area differ historically...."
Compilation of Geospatial Data (GIS) for the Mineral Industries and Related Infrastructure of Africa,97,"Department of the Interior —
This geodatabase reflects the U.S. Geological Survey’s (USGS) ongoing commitment to its mission of understanding the nature and distribution of global mineral..."
Jobs NYC Postings,97,"City of New York —
This dataset contains current job postings available on the City of New York’s official jobs site (http://www.nyc.gov/html/careers/html/search/search.shtml)...."
CDC WONDER: Cancer Statistics,97,"U.S. Department of Health & Human Services —
The United States Cancer Statistics (USCS) online databases in WONDER provide cancer incidence and mortality data for the United States for the years since 1999, by..."
Permanent Employment Certification (PERM) Program Historical Data,96,"Department of Labor —
This dataset includes data that the Employment and Training Administration's Office of Foreign Labor Certification (OFLC) collected from Permanent Employment..."
Indicators of Health Insurance Coverage at the Time of Interview,96,"U.S. Department of Health & Human Services —
The U.S. Census Bureau, in collaboration with five federal agencies, launched the Household Pulse Survey to produce data on the social and economic impacts of..."
"School Attendance by Student Group and District, 2021-2022",96,"State of Connecticut —
This dataset includes the attendance rate for public school students PK-12 by student group and by district during the 2021-2022 school year. Student groups include:..."
SSN Verification Service,95,"Social Security Administration —
The SSN Verification Service is used by Java applications to execute the GUVERF02 service using the WebSphere/CICS Interface. It accepts several input data fields..."
Farm Programs Payments,94,"Department of Agriculture —
Payments made by the Department of Agriculture, Farm Service Agency to US agricultural producers participating in Farm Bill programs including commodity, price..."
"Nutrition, Physical Activity, and Obesity - Women, Infant, and Child",94,"U.S. Department of Health & Human Services —
This dataset includes data on weight status for children aged 3 months to 4 years old from Women, Infant, and Children Participant and Program Characteristics (WIC-..."
Los Angeles International Airport - Passenger Traffic By Terminal,94,"City of Los Angeles —
Los Angeles International Airport - Passenger Statistic By Terminal"
Development Credit Authority (DCA) Data Set: Loan Transactions,94,"US Agency for International Development —
USAID's Development Credit Authority (DCA) works with investors, local financial institutions, and development organizations to design and deliver investment..."
Labor Condition Application for Nonimmigrant Workers (LCA)  Program Historical Data,94,"Department of Labor —
This dataset includes data that the Employment and Training Administration's Office of Foreign Labor Certification (OFLC) collected from Labor Condition Applications..."
"Nutrition, Physical Activity, and Obesity - Youth Risk Behavior Surveillance System",94,"U.S. Department of Health & Human Services —
This dataset includes data on adolescent's diet, physical activity, and weight status from Youth Risk Behavior Surveillance System (YRBSS). This data is used for..."
2015-16 Harassment or Bullying Estimations by Basis Category,93,"Department of Education —
This set of Excel files contains data on students reported as harassed or bullied or disciplined for harassment or bullying on the basis of sex, race, or disability..."
Medicare Part D Spending by Drug,93,"U.S. Department of Health & Human Services —
The Medicare Part D by Drug dataset presents information on spending for drugs prescribed to Medicare beneficiaries enrolled in Part D by physicians and other..."
Sustainable Materials Management (SMM) - Materials and Waste Management in the United States Key Facts and Figures,93,"U.S. Environmental Protection Agency —
Each year the Environmental Protection Agency (EPA) produces a report titled Advancing Sustainable Materials Management: Facts and Figures. It includes information on..."
Motor Vehicle Collisions - Vehicles,93,"City of New York —
The Motor Vehicle Collisions vehicle table contains details on each vehicle involved in the crash. Each row represents a motor vehicle involved in a crash. The data..."
Rural-Urban Commuting Area Codes,93,"Department of Agriculture —
The rural-urban commuting area codes (RUCA) classify U.S. census tracts using measures of urbanization, population density, and daily commuting from the decennial..."
Vehicle Fuel Type Count by Zip Code,93,"State of California —
These reports provides vehicle counts broken down by ZIP code, model year, fuel type, make and duty (light/heavy) of registered vehicles with specific as of dates."
2020 Presidential General Election Results,92,"Montgomery County of Maryland —
The Cumulative Report includes complete official election results for the 2020 Presidential General Election as of November 29, 2020. Results are released in three..."
Quarterly Census of Employment and Wages (QCEW),92,"State of California —
The Quarterly Census of Employment and Wages (QCEW) Program is a Federal-State cooperative program between the U.S. Department of Labor’s Bureau of Labor Statistics..."
Institutions on Heightened Cash Monitoring,92,"Department of Education —
A list of institutions of higher education that have been placed on heightened cash monitoring as a result of compliance issues including but not limited to..."
Provisional COVID-19 Death Counts by Week Ending Date and State,92,"U.S. Department of Health & Human Services —
Effective September 27, 2023, this dataset will be updated weekly on Thursdays. Deaths involving COVID-19, pneumonia, and influenza reported to NCHS by week ending..."
Pittsburgh American Community Survey 2014 - Miscellaneous Data,92,"Allegheny County / City of Pittsburgh / Western PA Regional Data Center —
Miscellaneous Reports from the 2014 American Community Survey Report"
County-level Data Sets,92,"Department of Agriculture —
Socioeconomic indicators like the poverty rate, population change, unemployment rate, and education levels vary across the nation. ERS has compiled the latest data on..."
Trips by Distance,118,"Department of Transportation —
Updates are delayed due to technical difficulties. How many people are staying at home? How far are people traveling when they don’t stay home? Which states and..."
Large Scale International Boundaries,91,"Department of State —
Overview The Office of the Geographer and Global Issues at the U.S. Department of State produces the Large Scale International Boundaries (LSIB) dataset. The current..."
Amtrak Stations,91,"Department of Transportation —
The Amtrak Stations dataset is as of January 29, 2025 from Amtrak and is part of the U.S. Department of Transportation (USDOT)/Bureau of Transportation Statistics..."
"Biodiversity by County - Distribution of Animals, Plants and Natural Communities",91,"State of New York —
The NYS Department of Environmental Conservation (DEC) collects and maintains several datasets on the locations, distribution and status of species of plants and..."
Survey of Graduate Students and Postdoctorates in Science and Engineering,91,"National Science Foundation —
The Graduate Students and Postdoctorates in Science and Engineering survey is an annual census of all U.S. academic institutions granting research-based master's..."
H-1B,90,"Department of Labor —
Investigative case data involving H-1B non-immigrant visas"
Medicare Telehealth Trends,90,"U.S. Department of Health & Human Services —
The Medicare Telehealth Trends dataset provides information about people with Medicare who used telehealth services between January 1, 2020 and June 30, 2024. The..."
FSIS - FoodKeeper Data,90,"Department of Agriculture —
FSIS’ FoodKeeper application educates users about food and beverages storage to help them maximize the freshness and quality of these items. By helping users..."
Connecticut Business Registry - Business Filing History,90,"State of Connecticut —
This is the business filing table from the Connecticut Business Registry, maintained by the Secretary of the State, Business Services Division. It contains all of the..."
WaveWatch III (WW3) Global Wave Model,90,"National Oceanic and Atmospheric Administration, Department of Commerce —
Through a collaborative effort with NOAA/NCEP and NWS Honolulu, the University of Hawaii has implemented a global-scale WaveWatch III (WW3) 7-day model with a 5-day..."
Monthly Modal Time Series,90,"Department of Transportation —
Modal Service data and Safety & Security (S&S) public transit time series data delineated by transit/agency/mode/year/month. Includes all Full Reporters--..."
Food Availability (Per Capita) Data System,89,"Department of Agriculture —
The ERS Food Availability (Per Capita) Data System (FADS) includes three distinct but related data series on food and nutrient availability for consumption. The data..."
"PLACES: Local Data for Better Health, Place Data 2023 release",89,"U.S. Department of Health & Human Services —
This dataset contains model-based place (incorporated and census-designated places) estimates. PLACES covers the entire United States—50 states and the District of..."
NYPD Arrests Data (Historic),89,"City of New York —
List of every arrest in NYC going back to 2006 through the end of the previous calendar year. This is a breakdown of every arrest effected in NYC by the NYPD going..."
Public Libraries,89,"State of Connecticut —
The Public Libraries data set aggregates individual library services and finance data to the town level. Public libraries provide free borrowing privileges and..."
Hospital Provider Cost Report,89,"U.S. Department of Health & Human Services —
The Hospital Provider Cost Report dataset provides select measures from the hospital annual cost report. This data includes provider information such as facility..."
UNSPSC Codes,88,"State of Oklahoma —
The United Nations Standard Products and Services Code (UNSPSC) is a hierarchical convention that is used to classify all products and services."
CORONA Satellite Photography,88,"National Aeronautics and Space Administration —
On February 24, 1995, President Clinton signed an Executive Order, directing the declassification of intelligence imagery acquired by the first generation of United..."
MyPyramid Food Raw Data,88,"Department of Agriculture —
MyPyramid Food Data provides information on the total calories; calories from solid fats, added sugars, and alcohol (extras); MyPyramid food group and subgroup..."
MedPix,88,"U.S. Department of Health & Human Services —
MedPix is a database of patient cases integrating images and textual information. The content material is organized by disease location (organ system), pathology..."
Lunar Map Catalog,87,"National Aeronautics and Space Administration —
The Lunar Map Catalog includes various maps of the moon's surface, including Apollo landing sites; earthside, farside, and polar charts; photography index maps; zone..."
U.S. Annual/Seasonal Climate Normals (1981-2010),87,"National Oceanic and Atmospheric Administration, Department of Commerce —
The U.S. Annual Climate Normals for 1981 to 2010 are 30-year averages of meteorological parameters that provide users with many tools to understand typical climate..."
NIST Chemical Kinetics Database,86,"National Institute of Standards and Technology —
The NIST Chemical Kinetics Database includes essentially all reported kinetics results for thermal gas-phase chemical reactions. The database is designed to be..."
U.S. General Soil Map (STATSGO2),86,"Department of Agriculture —
This dataset consists of general soil association units. It was developed by the National Cooperative Soil Survey and supersedes the State Soil Geographic (STATSGO)..."
"TIGER/Line Shapefile, 2019,  nation, U.S., Current Metropolitan Statistical Area/Micropolitan Statistical Area (CBSA) National",86,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
Food and Nutrition,86,"District of Columbia —
This section focuses on food and nutrition services that are dementia-specific or dementia-inclusive. Older adults in the District can obtain nutrition education and..."
Federal Real Property Profile Summary Data by Installation Name,85,"General Services Administration —
A XLSX export of summarized data for all DoD and specified civilian agency assets contained within the FRPP, a government-wide database of executive branch agency..."
Federal Student Loan Portfolio,85,"Department of Education —
Provides snapshots of the outstanding federal student loan portfolio by loan program, loan type, loan status, repayment plan, delinquency, servicer, and various..."
Heat Vulnerability Index Rankings,85,"City of New York —
The Heat Vulnerability Index (HVI) shows neighborhoods whose residents are more at risk for dying during and immediately following extreme heat. It uses a..."
County Jail Rosters,85,"State of Washington —
Many counties publish the number of inmates in county corrections custody, with names, booking datas and in some case the charges. This dataset provides links to..."
USEEIO v1.1 - Matrices,85,"U.S. Environmental Protection Agency —
This dataset provides the basic building blocks for the USEEIO v1.1 model and life cycle results per $1 (2013 USD) demand for all goods and services in the model in..."
Surgical Site Infections (SSIs) for Operative Procedures in California Hospitals,85,"State of California —
These datasets show surgical site infections (SSIs) reported by California hospitals to the California Department of Public Health (CDPH), Healthcare-Associated..."
Drug Products in the Medicaid Drug Rebate Program,84,"U.S. Department of Health & Human Services —
Active drugs that have been reported by participating drug manufacturers under the Medicaid Drug Rebate Program. All drugs are identified by National Drug Code (NDC),..."
Census Tracts in 2020,84,"District of Columbia —
Census Tracts from 2020. The TIGER/Line shapefiles are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File..."
Hypertension,84,"Allegheny County / City of Pittsburgh / Western PA Regional Data Center —
These datasets provide de-identified insurance data for hypertension hyperlipidemia. The data is provided by three managed care organizations in Allegheny County..."
NYPD Hate Crimes,84,"City of New York —
Dataset containing confirmed hate crime incidents in NYC"
